50.4939, -1497.96, 29.2918, 10.9893, 0.0577853, -5.20431,50
122.106, -1446, 29.3212, 7.07328, 0.147676, -149.194,50
23.6355, -1139.56, 29.2659, 10.9277, 0.118116, 11.8403,50
-88.1479, -255.713, 44.8065, 13.4322, 0.0517441, 95.2865,50
42.4079, -151.113, 55.3849, 11.5501, 0.0517797, -28.5407,50
140.505, -192.38, 54.5084, 12.5269, 0.346575, 151.551,50
251.076, -354.972, 44.5451, 22.1798, 0.050242, 163.503,50
431.8, -153.019, 63.7157, 22.3034, 0.143301, -39.942,50
281.778, -78.816, 70.1712, 14.6755, 0.269785, 34.7926,50
-254.151, -657.513, 33.2058, 11.3522, 0.267428, 48.3141,50
-1713.58, -1080.29, 13.0174, 16.8185, 0.178879, -133.481,50
-1289.12, -501.332, 33.1679, 17.116, 0.0518984, -88.1658,50
-1321.43, -524.423, 32.7932, 20.2434, 0.220766, 52.1893,50
-1453.83, -622.527, 30.7684, 22.1241, 0.162537, 48.4944,50
